Skeleton 0
     0.00000      0.00000 2.12278e-314
     129.837      481.416      2205.94
     144.975      289.562      2289.83
     160.537      92.2314      2376.00
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
    -7.67570      282.903      2302.15
    -227.294      169.558      2344.13
     0.00000      0.00000      0.00000
    -215.555      364.214      2140.00
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     297.626      296.220      2277.51
     542.358      153.447      2356.64
     0.00000      0.00000      0.00000
     591.022      310.287      2127.00
     0.00000      0.00000      0.00000
     76.8761     -109.427      2470.17
     64.1783     -492.205      2587.67
     0.00000      0.00000      0.00000
     53.3450     -869.601      2760.34
     275.321     -100.771      2454.16
     274.217     -506.767      2578.47
     0.00000      0.00000      0.00000
     277.978     -888.981      2740.52
Skeleton 0
     0.00000      0.00000 2.12278e-314
     162.073      473.522      2197.55
     161.236      284.772      2288.16
     161.998      90.1491      2380.17
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     8.46648      286.997      2294.13
    -217.185      175.821      2342.09
     0.00000      0.00000      0.00000
    -213.086      365.307      2141.89
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     314.006      282.548      2282.19
     526.630      152.595      2351.11
     0.00000      0.00000      0.00000
     595.028      306.718      2133.28
     0.00000      0.00000      0.00000
     63.2078     -103.025      2476.08
     50.1554     -494.927      2614.55
     0.00000      0.00000      0.00000
     46.0042     -848.398      2760.08
     262.313     -105.924      2468.30
     260.041     -506.410      2617.65
     0.00000      0.00000      0.00000
     269.981     -875.143      2756.40
Skeleton 0
     0.00000      0.00000 2.12278e-314
     178.475      467.690      2194.86
     169.170      280.800      2288.26
     162.056      87.4161      2382.90
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     16.3445      287.453      2290.36
    -204.617      180.414      2344.54
     0.00000      0.00000      0.00000
    -212.027      370.656      2142.97
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     321.995      274.147      2286.15
     527.788      151.264      2356.49
     0.00000      0.00000      0.00000
     598.185      305.587      2140.56
     0.00000      0.00000      0.00000
     55.6594     -101.645      2478.91
     55.1161     -500.277      2622.25
     0.00000      0.00000      0.00000
     54.5820     -851.418      2754.09
     254.225     -110.290      2476.17
     266.054     -510.371      2631.49
     0.00000      0.00000      0.00000
     276.698     -864.378      2751.01
Skeleton 0
     0.00000      0.00000 2.12278e-314
     187.903      466.546      2193.54
     174.332      279.845      2288.07
     162.937      86.8929      2383.60
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     21.5015      289.034      2288.40
    -201.315      181.206      2344.27
     0.00000      0.00000      0.00000
    -212.015      373.464      2145.38
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     327.163      270.656      2287.74
     529.887      150.629      2362.23
     0.00000      0.00000      0.00000
     593.936      304.917      2142.43
     0.00000      0.00000      0.00000
     52.2827     -100.092      2479.34
     59.1777     -500.135      2630.15
     0.00000      0.00000      0.00000
     59.3945     -848.822      2748.11
     250.802     -112.028      2478.91
     271.142     -510.984      2639.22
     0.00000      0.00000      0.00000
     281.817     -859.236      2747.32
Skeleton 0
     0.00000      0.00000 2.12278e-314
     192.180      465.065      2191.89
     176.691      278.889      2287.61
     163.513      86.3739      2384.08
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     23.8336      289.004      2286.91
    -197.661      181.604      2346.14
     0.00000      0.00000      0.00000
    -211.766      369.945      2145.46
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     329.549      268.775      2288.31
     529.440      151.312      2362.11
     0.00000      0.00000      0.00000
     591.343      310.964      2146.07
     0.00000      0.00000      0.00000
     51.0335     -99.5712      2480.09
     61.7255     -500.827      2633.34
     0.00000      0.00000      0.00000
     61.1959     -850.169      2746.60
     249.635     -112.712      2481.00
     272.995     -512.072      2641.65
     0.00000      0.00000      0.00000
     284.406     -860.429      2748.88
Skeleton 0
     0.00000      0.00000 2.12278e-314
     193.996      462.743      2184.57
     177.585      278.581      2285.27
     163.713      87.8267      2385.16
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     24.7141      289.199      2284.32
    -194.831      182.805      2345.58
     0.00000      0.00000      0.00000
    -211.531      372.101      2145.40
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     330.455      267.962      2286.22
     529.720      151.655      2357.55
     0.00000      0.00000      0.00000
     587.316      315.631      2147.84
     0.00000      0.00000      0.00000
     50.5085     -96.0273      2484.44
     62.7750     -498.123      2638.32
     0.00000      0.00000      0.00000
     61.2172     -848.800      2750.28
     249.176     -109.827      2485.68
     272.050     -510.269      2644.59
     0.00000      0.00000      0.00000
     288.315     -859.486      2754.57
Skeleton 0
     0.00000      0.00000 2.12278e-314
     195.396      461.574      2180.40
     178.756      278.406      2283.98
     164.463      88.5389      2385.59
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     25.8713      289.112      2282.48
    -194.918      181.405      2344.79
     0.00000      0.00000      0.00000
    -211.740      368.834      2144.24
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     331.640      267.700      2285.48
     529.857      156.325      2356.78
     0.00000      0.00000      0.00000
     583.348      317.748      2142.57
     0.00000      0.00000      0.00000
     50.8127     -94.3708      2486.23
     63.5772     -497.756      2638.15
     0.00000      0.00000      0.00000
     59.1791     -846.515      2742.25
     249.529     -108.286      2488.18
     272.881     -511.967      2638.82
     0.00000      0.00000      0.00000
     288.737     -859.146      2750.94
Skeleton 0
     0.00000      0.00000 2.12278e-314
     196.799      462.227      2185.32
     179.236      278.454      2285.28
     164.267      87.5258      2384.82
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     26.3534      289.140      2282.78
    -194.453      180.695      2345.89
     0.00000      0.00000      0.00000
    -209.370      364.893      2142.90
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     332.118      267.769      2287.77
     532.435      154.666      2360.38
     0.00000      0.00000      0.00000
     575.568      321.159      2147.52
     0.00000      0.00000      0.00000
     49.9324     -96.4575      2482.74
     62.5090     -501.355      2631.34
     0.00000      0.00000      0.00000
     59.5600     -851.171      2738.75
     248.665     -110.348      2485.98
     273.476     -512.366      2641.07
     0.00000      0.00000      0.00000
     285.831     -859.407      2744.53
Skeleton 0
     0.00000      0.00000 2.12278e-314
     196.733      461.673      2180.78
     179.245      278.689      2283.61
     164.284      88.7953      2385.14
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     26.3597      289.489      2281.28
    -190.225      177.847      2345.45
     0.00000      0.00000      0.00000
    -208.060      362.350      2142.48
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     332.130      267.889      2285.94
     534.719      155.334      2363.69
     0.00000      0.00000      0.00000
     570.437      322.828      2150.02
     0.00000      0.00000      0.00000
     49.9534     -94.0786      2485.16
     63.8316     -498.712      2634.75
     0.00000      0.00000      0.00000
     60.2330     -848.665      2746.03
     248.692     -108.118      2488.18
     275.980     -508.178      2647.97
     0.00000      0.00000      0.00000
     284.869     -856.937      2751.06
Skeleton 0
     0.00000      0.00000 2.12278e-314
     197.066      460.660      2179.01
     179.621      278.719      2283.19
     164.756      89.2982      2385.64
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
